series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_classification,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1975,A,0,197552,01/01/1975,M,Imports,,1,Total,0,World,2000,,21.89348464,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1975,A,0,197552,01/01/1975,X,Exports,,1,Total,0,World,2000,,32.49431995,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1976,A,0,197652,01/01/1976,M,Imports,,1,Total,0,World,2000,,24.03503001,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2004,A,0,200452,01/01/2004,X,Exports,,1,Total,0,World,2000,,101.79538731,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1976,A,0,197652,01/01/1976,X,Exports,,1,Total,0,World,2000,,35.49093643,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1999,A,0,199952,01/01/1999,X,Exports,,1,Total,0,World,2000,,86.40710048,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1999,A,0,199952,01/01/1999,M,Imports,,1,Total,0,World,2000,,91.64451023,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2000,A,0,200052,01/01/2000,X,Exports,,1,Total,0,World,2000,,100,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2000,A,0,200052,01/01/2000,M,Imports,,1,Total,0,World,2000,,100,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2001,A,0,200152,01/01/2001,X,Exports,,1,Total,0,World,2000,,110.04903643,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2001,A,0,200152,01/01/2001,M,Imports,,1,Total,0,World,2000,,105.74057324,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1982,A,0,198252,01/01/1982,M,Imports,,1,Total,0,World,2000,,51.52418021,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1982,A,0,198252,01/01/1982,X,Exports,,1,Total,0,World,2000,,60.71511466,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1983,A,0,198352,01/01/1983,M,Imports,,1,Total,0,World,2000,,55.95592468,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1983,A,0,198352,01/01/1983,X,Exports,,1,Total,0,World,2000,,65.30132889,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1984,A,0,198452,01/01/1984,M,Imports,,1,Total,0,World,2000,,57.36772378,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1984,A,0,198452,01/01/1984,X,Exports,,1,Total,0,World,2000,,65.5358865,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1985,A,0,198552,01/01/1985,M,Imports,,1,Total,0,World,2000,,68.08504418,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1985,A,0,198552,01/01/1985,X,Exports,,1,Total,0,World,2000,,73.63981105,,P,Price,A,Actual
